"id (S)","location (S)","isCapital (BOOL)"
"564c1394-9260-4a3d-b54d-1d150e26f758","city#earth#africa#lesotho#maseru","true"
"0056a278-b78b-4a6a-af49-015365d628a5","city#earth#asia#thailand#bangkok","true"
"6c03825b-9923-42e9-97d6-b13d393c79c0","city#earth#antarctica#french southern territories#port-aux-francais","true"
"bcfcf5f3-e675-45b9-b5d5-439b89b4e450","city#earth#africa#togo#lome","true"
"29f3ff7f-31b7-48e3-ace6-e9d246ef1497","city#earth#africa#chad#n'djamena","true"
"29b41117-dbd4-4ffe-9d2b-1d4c0785e34c","city#earth#north america#turks and caicos islands#cockburn town","true"
"8c2a43ad-0826-49d4-9b5d-58f678a779ce","city#earth#africa#libya#tripolis","true"
"44fd4be3-092f-4db5-b0ce-0574eb6625c2","city#earth#europe#vatican#vatican city","true"
"dd4a192b-3d84-43dc-91d5-226c6045a184","city#earth#north america#saint vincent and the grenadines#kingstown","true"
"eff762c2-e33c-4a0d-9d47-9e3440ce7794","city#earth#asia#united arab emirates#abu dhabi","true"
"b40cbae3-b87f-4674-8b51-f0fcdef0df99","city#earth#europe#andorra#andorra la vella","true"
"c655a9b9-bb02-4874-a93d-eb9ecf6570ed","city#earth#north america#antigua and barbuda#st. john's","true"
"b3681b5b-e2b8-495d-abcd-2a0303d3a28c","city#earth#asia#afghanistan#kabul","true"
"7fe086ff-07db-4ee6-88fd-8b0eea98f671","city#earth#north america#anguilla#the valley","true"
"9aa79733-93c5-48df-9816-d364cfd7b097","city#earth#north america#u.s. virgin islands#charlotte amalie","true"
"1f62438d-dfd3-4197-a806-27e4b1ca8a99","city#earth#europe#iceland#reykjavik","true"
"1dd3f818-3b42-4262-a6ad-1bf02aed7b17","city#earth#asia#iran#tehran","true"
"18b42160-cb52-493a-b778-0a61d000abd6","city#earth#asia#armenia#yerevan","true"
"896e8c95-69d3-4dee-8f1c-c77d12207522","city#earth#europe#albania#tirana","true"
"6a40495b-272b-41ae-8597-4edb49b35df3","city#earth#africa#angola#luanda","true"
"1a55695c-00f8-480a-8ec9-1f0fad299c6d","city#earth#antarctica#antarctica#","true"
